rang,count
0.0,175
19500.0,9
20500.0,100
22000.0,12
18000.0,42
2550.0,1
26000.0,3
33000.0,1
20000.0,12
21000.0,36
22500.0,4
25500.0,5
23500.0,12
20500.0,34
23000.0,65
24500.0,5
27000.0,58
29000.0,11
23499.999999999996,2
26500.0,2
29000.0,1
29500.0,1
9166.666666666666,13
11250.0,2
14166.666666666666,2
20833.333333333332,5
0.0,3
3000.0,61
0.0,13
12083.333333333334,1
12916.666666666666,2
11541.666666666666,3
33000.0,2
10833.333333333334,3
11666.666666666666,7
14583.333333333334,5
17500.0,7
19583.333333333332,1
30000.0,1
26125.0,1
11666.666666666666,1
4050.0,2
12500.0,1
13333.333333333334,2
14166.666666666666,4
16250.0,2
3360.0,2
15000.0,4
16250.0,4
17083.333333333332,1
18750.0,138
225000.0,2
20833.333333333332,12
250000.0,1
22916.666666666668,11
37500.0,4
45000.0,3
14166.666666666666,2
5040.0,1
16666.666666666668,2
19583.333333333332,1
